title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday
하이큐!!끝과시작,2016-11-16,13,75680,3,일본,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카스스무,"히노사토시,이리노미유",2016-12-25,40,일요일,1
한공주,2014-04-17,132,223852,19,한국,CGV아트하우스,청소년관람불가,드라마,이수진,"천우희,우혜진,정인선,김소영,강대현,백지원,임동석,장순호,전준영,정한빈,이상헌,이슬,이연주,이은주,이재민,김다현,김용국,지수,김태윤,김현준,민경진,동현배,이영란,유승목",2014-05-26,40,월요일,0
해빙,2017-03-01,70,1204052,5,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,이수연,"조진웅,신구,김대명,송영창,이청아,윤세아",2017-04-09,40,일요일,1
해어화,2016-04-13,650,484735,3,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,드라마",박흥식,"한효주,유연석,천우희,박성웅,장영남,이한위,류혜영,김수안,차지연,장인섭,박찬미,장희선,박효빈,송동규,송승환,양재준,천영암,이규정,이민준,이서연,이성우,이은주,최혁준",2016-05-20,38,금요일,0
해적바다로간산적,2014-08-06,82392,8362672,451,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,어드벤처,이석훈,"김남길,손예진,유해진,이경영,오달수,김태우,박철민,신정근,김원해,조달환,조희봉,정성화,최진리,이이경,강대욱,서왕석,서재현,서진석,서현석,성호제,송용호,심윤보,엄세현,유민경,이동철,장지웅,정경우,차민호,권성영,김경식,김기환,김대현,김재학,김주동,김준아,김한준,도현운,안내상,이대연,전배수,김강일",2014-09-14,40,일요일,1
핵소고지,2017-02-22,33,176854,1,미국,판씨네마(주),15세이상관람가,"드라마,전쟁",멜깁슨,"앤드류가필드,샘워싱턴,휴고위빙",2017-04-02,40,일요일,1
허삼관,2015-01-14,45,955175,1,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,하정우,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은",2015-02-20,38,금요일,1
헤라클레스레전드비긴즈,2014-04-10,10,221340,1,미국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,판타지",레니할린,"스콧앳킨스,켈란루츠",2014-05-14,35,수요일,0
헤이트풀8,2016-01-07,84,119069,3,미국,(주)누리픽쳐스,청소년관람불가,"액션,스릴러,서부극(웨스턴)",쿠엔틴타란티노,"사무엘L.잭슨,커트러셀,제니퍼제이슨리,월튼고긴스,데미안비쉬어,팀로스,마이클매드슨,브루스던,채닝테이텀",2016-02-15,40,월요일,0
헬머니,2015-03-05,9,522863,2,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선",2015-04-13,40,월요일,0
