title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
원더우먼,1908880,0,0,0,1,0,0,0,0,0,0,0,0,2,3222,0.919877676,4,327174,1854
박열,1931053,0,1,0,0,0,0,0,0,0,0,0,9,0,7265,0.942565754,3,362463,1912
재심,2030706,0,1,0,0,0,0,0,0,0,0,0,0,0,6797,0.96618934,5,267547,1516
배트맨대슈퍼맨저스티스의시작,2059591,0,0,0,1,0,0,0,0,0,1,0,0,2,16024,0.819444444,4,466842,3247
미스페레그린과이상한아이들의집,2122413,0,0,0,0,1,0,0,0,0,0,0,0,2,8695,0.962240403,6,146754,977
조작된도시,2155595,0,0,0,0,1,0,0,0,0,0,0,1,3,12267,0.93809343,7,362610,1596
탐정더비기닝,2162055,1,0,1,0,1,0,0,0,0,0,0,1,3,3319,0.967415236,7,170395,980
표적,2168858,0,1,0,0,0,0,0,0,0,0,0,1,3,1717,0.906122449,2,267466,1186
분노의질주더세븐,2268341,0,0,0,0,1,0,0,0,0,1,0,0,1,7601,0.985886403,1,261860,1606
매드맥스분노의도로,2287154,0,0,0,1,0,0,0,0,0,0,0,0,2,2005,0.963337832,2,241379,1561
메이즈러너스코치트라이얼,2320466,1,0,0,0,0,0,0,0,0,1,0,0,2,35841,0.929439252,2,237867,1402
형,2321198,0,1,1,0,0,0,0,0,0,0,0,1,3,25600,0.970792768,1,233268,1677
스물,2322695,0,1,1,0,0,0,0,0,0,0,0,0,2,27413,0.938009788,1,283956,1615
보안관,2323185,0,0,1,0,1,0,0,0,0,0,0,0,3,2752,0.919384058,6,422723,1427
기술자들,2336461,0,0,0,0,1,0,0,0,0,0,0,1,3,24306,0.893382353,4,761071,1255
프리즌,2378417,0,0,0,0,1,0,0,0,0,0,1,0,3,8022,0.918406806,5,470714,1851
극비수사,2392661,0,1,0,0,1,0,0,0,0,0,0,3,3,9189,0.949934124,4,393967,1492
덩케르크,2406148,0,1,0,0,0,0,0,0,0,0,0,0,2,6381,0.946188341,5,478307,2497
호빗다섯군대전투,2448113,0,0,0,1,0,0,0,0,0,1,0,0,2,16936,0.962264151,2,343218,1826
제이슨본,2451175,0,0,0,0,1,0,0,0,0,0,0,0,1,13139,0.93648374,3,525779,1542
트랜스포머최후의기사,2479956,0,0,0,1,0,0,0,0,0,1,0,0,3,16721,0.650826446,1,484567,3450
가디언즈오브갤럭시VOL.2,2495390,0,0,0,0,0,0,0,0,0,1,0,0,0,7337,0.982413179,6,840007,2320
앤트맨,2506008,0,0,0,0,0,0,0,0,0,0,0,0,0,6457,0.972036235,4,396365,1744
아수라,2521485,0,0,0,0,1,0,0,0,0,0,1,2,3,28898,0.551997121,6,734132,2452
킹스맨시크릿에이전트,2564142,1,0,0,0,1,0,0,0,0,0,1,0,2,2480,0.978927203,6,166155,1061
