title,eightdays_aud,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,documentary,horror,family,war,etc,series,holiday,aud_18,korea,usa,actors,director,distributor_value,expect,comp_before,comp_after,first_screen
그날의분위기,495339,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,3,8071,0,2,592
트랜센던스,515323,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,3,2385,1,2,361
장수상회,535667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,1,3,15600,0,1,640
특종량첸살인기,508629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2717,0,6,776
헝거게임더파이널,541092,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,3,13214,1,2,482
우는남자,534721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,3,2136,5,2,500
서부전선,535796,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11,0,3,4085,0,7,499
47미터,536658,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3483,2,4,542
잭리처네버고백,540290,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,8,0,3,1974,1,3,658
애나벨,603886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,6123,0,9,344
스플릿,553151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1700,2,3,563
우리는형제입니다,564434,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,3,5789,0,4,517
카트,553362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,48999,0,1,533
인페르노,557906,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2279,4,1,731
국가대표2,562630,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,7290,0,4,562
레지던트이블파멸의날,576181,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,9388,0,3,545
조선마술사,571279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,13233,3,3,596
픽셀,578736,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6795,2,2,530
좋아해줘,622398,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,1,3,11032,3,4,614
방황하는칼날,612500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,1,3,1932,0,7,481
"날,보러와요",615271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4353,0,7,424
사냥,609141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,5209,1,3,696
